iso,countryname,year,rGDP,nGDP,deflator,govdebt_GDP,govdef,cbrate,CA_GDP,USDfx
ARG,Argentina,1978,3.3216207521036267e-4,7.689998601563275e-4,2.3151345252990723,14.475556373596191,-1.0469931112311315e-5,NA,2.084235191345215,8.146700203326418e-9
ARG,Argentina,1979,9.982793126255274e-4,0.0020929998718202114,2.0966074466705322,10.311241149902344,-3.14368553517852e-5,NA,-0.7407693266868591,1.3436699752844561e-8
ARG,Argentina,1980,0.0020143564324826,0.004160999320447445,2.065671920776367,9.456809997558594,-4.729806460090913e-5,NA,-6.203067302703857,1.8555800451736104e-8
ARG,Argentina,1981,0.0037169395945966244,0.008099999278783798,2.1792120933532715,21.999526977539063,-3.182407817803323e-4,NA,-5.989055633544922,6.045669920240471e-8
ARG,Argentina,1982,0.010787216015160084,0.023680996149778366,2.1952834129333496,43.318824768066406,-0.0011076076189056039,NA,-2.7909739017486572,2.6837079758479376e-7
ARG,Argentina,1983,0.05639899522066116,0.11866598576307297,2.1040444374084473,53.28166198730469,-0.003424937603995204,NA,-2.342778444290161,1.1270083177805645e-6
ARG,Argentina,1984,0.4138072431087494,0.8571268916130066,2.071319103240967,45.276554107666016,-0.011874634772539139,NA,-2.1340279579162598,7.47171679904568e-6
ARG,Argentina,1985,2.6315371990203857,5.749075412750244,2.184683322906494,45.81575393676758,0.20671945810317993,NA,-1.079966425895691,6.243458483368158e-5
ARG,Argentina,1986,5.257349491119385,10.819857597351074,2.058044195175171,46.35496139526367,0.35704436898231506,NA,-2.700421094894409,9.638332994654775e-5
ARG,Argentina,1987,12.618465423583984,25.285419464111328,2.00384259223938,61.502445220947266,0.47663021087646484,NA,-3.8920738697052,2.405166596872732e-4
ARG,Argentina,1988,59.40937423706055,120.35887908935547,2.02592396736145,50.925750732421875,-2.101104736328125,NA,-1.2388659715652466,0.0011325833620503545
ARG,Argentina,1989,1611.109619140625,3515.600341796875,2.182098865509033,98.06877899169922,-8.694085121154785,NA,-1.702994465827942,0.047387585043907166
ARG,Argentina,1990,33384.6953125,74691.6796875,2.2373030185699463,40.2661018371582,-102.47724914550781,NA,3.2203145027160645,0.5112083554267883
ARG,Argentina,1991,95626.8515625,196040.78125,2.0500600337982178,29.639633178710938,1891.0086669921875,NA,-0.3410288989543915,0.9866250157356262
ARG,Argentina,1992,129315.421875,245609.1875,1.8993031978607178,24.961000442504883,3779.6806640625,NA,-2.424941301345825,0.9915215969085693
ARG,Argentina,1993,146020.265625,256302.5625,1.7552533149719238,26.89299964904785,-61.51261520385742,0.7300000190734863,-3.4661781787872314,0.9994581937789917
ARG,Argentina,1994,168211.375,278990,1.658568024635315,28.426000595092773,-3487.375,1.6200000047683716,-3.9319446086883545,0.9995175004005432
ARG,Argentina,1995,163801.171875,279631.46875,1.7071396112442017,30.749000549316406,-5802.35302734375,0.699999988079071,-1.8261271715164185,0.9999896287918091
ARG,Argentina,1996,182311.421875,294931.125,1.6177325248718262,32.55099868774414,-8290.5146484375,8.15999984741211,-2.2906792163848877,1
ARG,Argentina,1997,212096.9375,317373.78125,1.4963619709014893,31.676000595092773,-5833.330078125,8.8100004196167,-3.8173749446868896,1
ARG,Argentina,1998,224843.03125,323973.03125,1.440885305404663,34.14699935913086,-5918.9873046875,7.539999961853027,-4.464038372039795,1
ARG,Argentina,1999,206022.234375,307256.4375,1.4913750886917114,38.91699981689453,-11383.8505859375,8.199999809265137,-3.8744771480560303,1
ARG,Argentina,2000,204887.46875,307994.15625,1.5032356977462769,40.83300018310547,-10524.16015625,12.109999656677246,-2.906404972076416,0.9996932744979858
ARG,Argentina,2001,185167.890625,291189.03125,1.5725675821304321,48.00699996948242,-15619.37890625,557.03997802734375,-1.2974737882614136,0.9995847940444946
ARG,Argentina,2002,191941.6875,338745.90625,1.764837622642517,147.2030029296875,-6470.046875,6.630000114440918,8.413261413574219,3.2887516021728516
ARG,Argentina,2003,251500.984375,407376.34375,1.6197803020477295,125.16200256347656,6110.64501953125,1.6699999570846558,5.793261528015137,2.9530251026153564
ARG,Argentina,2004,326182.90625,485115.1875,1.4872490167617798,117.87799835205078,19244.51953125,2.5,1.844578742980957,2.9477310180664063
ARG,Argentina,2005,426359.3125,582538.1875,1.3663080930709839,80.28199768066406,19462.6015625,5,2.5283267498016357,2.925611972808838
ARG,Argentina,2006,566134.5,715904.25,1.2645479440689087,70.792999267578125,11812.419921875,6.25,2.8548741340637207,3.07684063911438
ARG,Argentina,2007,773222.5625,896980.1875,1.160054326057434,62.132999420166016,6790.14013671875,10.75,2.1504018306732178,3.1158816814422607
ARG,Argentina,2008,1031236.125,1149646.125,1.114823341369629,53.81399917602539,4046.75439453125,12.050000190734863,1.4830787181854248,3.1605007648468018
ARG,Argentina,2009,1053144.625,1247929.25,1.1849552392959595,55.39699935913086,-22837.10546875,9.5,2.165416955947876,3.7310245037078857
ARG,Argentina,2010,1544342.5,1661720.875,1.076005458831787,43.45399856567383,-23147.771484375,9.5,-0.4368214011192322,3.912425994873047
ARG,Argentina,2011,2146691.5,2179024,1.0150614976882935,38.935001373291016,-59836,9.5,-1.0267940759658813,4.127462387084961
ARG,Argentina,2012,2572097.75,2637913.75,1.0255883932113647,40.43600082397461,-79612.234375,9.5,-0.3608914315700531,4.544686317443848
ARG,Argentina,2013,3343296.25,3348308.5,1.0014991760253906,43.49599838256836,-108953.953125,9.5,-2.2627508640289307,5.4716572761535645
ARG,Argentina,2014,4457349.5,4579086.5,1.0273115634918213,44.696998596191406,-194702.75,26.859899520874023,-1.7012149095535278,8.115349769592285
ARG,Argentina,2015,5954511,5954511,1,52.5629997253418,-357330.1875,33.00090026855469,-2.7923152446746826,9.246237754821777
ARG,Argentina,2016,8056987.5,8228159.5,1.0212451219558716,53.060001373291016,-547584.0625,24.75029945373535,-2.7328248023986816,14.769169807434082
ARG,Argentina,2017,10732669,10660228,0.9932504296302795,57.02799987792969,-713489.0625,28.75,-4.848343372344971,16.553207397460938
ARG,Argentina,2018,14456456,14744811,1.0199464559555054,85.246002197265625,-802265.1875,59.25199890136719,-4.686622142791748,28.065645217895508
ARG,Argentina,2019,20713920,21558444,1.0407708883285522,89.839996337890625,-958272.875,55,-0.5275030136108398,48.16280746459961
AUS,Australia,1978,34667.47265625,111097,3.204646587371826,24.688064575195313,-2540.5791015625,8.279999732971191,-3.253913164138794,0.8741070032119751
AUS,Australia,1979,41612.59765625,127505,3.064096212387085,22.846952438354492,-2742.91943359375,8,-1.560723066329956,0.8948289752006531
AUS,Australia,1980,48220.8125,143846,2.9830687046051025,21.204269409179688,-1885.023193359375,12.5,-2.3601629734039307,0.8783050179481506
AUS,Australia,1981,57502.3125,164648,2.863328218460083,19.09780502319336,-1028.2669677734375,14.75,-4.229629039764404,0.8699700236320496
AUS,Australia,1982,63982.87890625,183878,2.8738625049591064,16.808940887451172,-588.97052001953125,10.5,-4.145139694213867,0.98711097240448
AUS,Australia,1983,69158.484375,199108,2.8790104389190674,20.960376739501953,-4016.543212890625,6,-3.22086501121521,1.109894037246704
AUS,Australia,1984,83260.859375,224873,2.7008249759674072,22.273345947265625,-7333.9169921875,11.25,-4.223717212677002,1.1397700309753418
AUS,Australia,1985,97117.703125,249741,2.5715291500091553,23.988262176513672,-6548.4443359375,19,-4.959137439727783,1.4293409585952759
AUS,Australia,1986,107536.109375,271730,2.526872158050537,25.472633361816406,-6184.599609375,14.75,-5.06127405166626,1.49862802028656
AUS,Australia,1987,127422.625,305634,2.398585081100464,25.20756721496582,-4179.7705078125,11.25,-3.417159080505371,1.4272539615631104
AUS,Australia,1988,150519.171875,345703,2.2967374324798584,20.483976364135742,1649.0032958984375,14.550000190734863,-3.8767380714416504,1.2784559726715088
AUS,Australia,1989,176654.46875,388910,2.2015292644500732,17.016000747680664,1030,17.899999618530273,-6.015016555786133,1.2653230428695679
AUS,Australia,1990,190544.78125,413639,2.170823097229004,16.406999588012695,-2203,12,-4.8549580574035645,1.280972957611084
AUS,Australia,1991,189381.640625,416635,2.1999757289886475,21.607999801635742,-12007,8.5,-3.2959303855895996,1.2841769456863403
AUS,Australia,1992,202416.46875,432300,2.135695695877075,27.631999969482422,-18393,5.75,-3.283599376678467,1.3630939722061157
AUS,Australia,1993,221860.0625,455183,2.0516672134399414,30.66699981689453,-12919.9990234375,4.75,-3.0631635189056396,1.472756028175354
AUS,Australia,1994,246427.109375,482674,1.958688735961914,31.708999633789063,-12852,7.5,-4.555248260498047,1.3670899868011475
AUS,Australia,1995,269636.53125,512080,1.8991491794586182,31.148000717163086,-9360,7.5,-4.978518962860107,1.3491699695587158
AUS,Australia,1996,297357.40625,543197,1.8267478942871094,29.34000015258789,-4417,6,-3.467618465423584,1.2782599925994873
AUS,Australia,1997,327111.90625,573428,1.7530025243759155,25.910999298095703,2149,5,-2.905334234237671,1.3485870361328125
AUS,Australia,1998,362562.53125,605254,1.6693782806396484,23.698999404907227,13467.0009765625,4.75,-4.919257164001465,1.5927469730377197
AUS,Australia,1999,398206.875,638239,1.6027824878692627,22.54400062561035,18548,5,-5.475378513336182,1.5499540567398071
AUS,Australia,2000,443594.90625,687695,1.5502769947052002,19.493999481201172,6103,6.25,-4.0231499671936035,1.7262909412384033
AUS,Australia,2001,484252.4375,730883,1.5093016624450684,17.10700035095215,-1087,4.25,-2.2802555561065674,1.9344309568405151
AUS,Australia,2002,539558.125,782955,1.4511040449142456,15.01200008392334,13403,4.75,-3.8318932056427,1.84040105342865
AUS,Australia,2003,590372.75,830775,1.4072041511535645,13.1850004196167,21399,5.25,-5.357407093048096,1.5409339666366577
AUS,Australia,2004,661373.75,895202,1.3535493612289429,11.906999588012695,12695,5.25,-6.322595119476318,1.3604609966278076
AUS,Australia,2005,734460.875,964944,1.3138126134872437,10.859000205993652,21352.998046875,5.5,-5.956822395324707,1.3126569986343384
AUS,Australia,2006,813215.8125,1040321,1.2792680263519287,9.937999725341797,25730.001953125,6.25,-5.899525165557861,1.3282109498977661
AUS,Australia,2007,925102.6875,1133965,1.2257720232009888,9.664999961853027,22523,6.75,-6.7748122215271,1.194885015487671
AUS,Australia,2008,1033616.0625,1236693,1.1964722871780396,11.741999626159668,-1762.9998779296875,4.25,-4.756879806518555,1.1962039470672607
AUS,Australia,2009,1077326.75,1263823,1.1731102466583252,16.621999740600586,-54383.00390625,3.75,-4.6454291343688965,1.2790679931640625
AUS,Australia,2010,1193927,1366328,1.1443983316421509,20.349000930786133,-57863.00390625,4.75,-3.649489641189575,1.089508056640625
AUS,Australia,2011,1317995.5,1469072,1.1146259307861328,24.038999557495117,-57283,4.25,-3.0012142658233643,0.9695240259170532
AUS,Australia,2012,1413559.625,1516083,1.0725284814834595,27.51799964904785,-46121,3,-4.358072757720947,0.9659479856491089
AUS,Australia,2013,1495912.125,1569948,1.0494921207427979,30.461999893188477,-29003,2.5,-3.3728506565093994,1.0368820428848267
AUS,Australia,2014,1577472.5,1614274,1.0233293771743774,34.027000427246094,-28379,2.5,-3.0769870281219482,1.1092389822006226
AUS,Australia,2015,1640094,1640094,1,37.70899963378906,-16723,2,-4.669915199279785,1.332358956336975
AUS,Australia,2016,1746133.875,1700005,0.9735822677612305,40.5880012512207,-26473,1.5,-3.2874021530151367,1.3448740243911743
AUS,Australia,2017,1898194.625,1803571,0.950150728225708,41.14899826049805,-11282,1.5,-2.5977907180786133,1.3049830198287964
AUS,Australia,2018,2055459.375,1898400,0.9235891699790955,41.69599914550781,-10537,1.5,-2.245944023132324,1.339015007019043
AUS,Australia,2019,2201583.75,1997461,0.9072836637496948,46.659000396728516,-24015.998046875,0.75,0.35279786586761475,1.4392729997634888
AUT,Austria,1978,30691.291015625,65244.99609375,2.125847339630127,32.33413314819336,-2064.530029296875,4.5,-0.8117835521697998,1.0547230243682861
AUT,Austria,1979,35469.1015625,71568.1875,2.017761468887329,34.145729064941406,-2087.064697265625,6.25,-1.071305513381958,0.9716410040855408
AUT,Austria,1980,38756.5546875,76870.4921875,1.9834191799163818,35.61464309692383,-1687.7410888671875,8.25,-1.4201076030731201,0.939158022403717
AUT,Austria,1981,41240.43359375,81915.2578125,1.9862850904464722,37.3262825012207,-1808.715576171875,8.25,-1.2117536067962646,1.1579660177230835
AUT,Austria,1982,45214.2890625,88037.8125,1.947123646736145,39.63872528076172,-3376.242431640625,6.25,1.5785497426986694,1.2406450510025024
AUT,Austria,1983,49607.7265625,93803.515625,1.8909053802490234,43.89093017578125,-4444.34765625,5.75,0.788754403591156,1.3067100048065186
